EPISODE,distance_traversed,mean_speed,std_speed,mean_track,std_track,reward_runn,fuel_start,fuel_end,fuel_consumed,rew_fuel
0,1318.21595064,0.20796797978352594,0.15373943012361618,0.6310286283493042,0.26403101339132284,36994.38,93.9995,93.8605,0.13899994,266146.7220535221
1,1154.43716564,0.19243318767533324,0.14135474072163384,0.6208547660533119,0.2626166530455082,36078.387,93.9991,93.8929,0.10620117,331092.3392611796
2,934.25926357,0.18362603658860044,0.14148126689092733,0.6019108109176159,0.2569722151138261,35157.836,93.9991,93.8829,0.11620331,286710.7466955954
3,831.0427745699999,0.17667580489940843,0.13826798230058857,0.5932992225693118,0.2547375994282192,34391.94,93.9991,93.8884,0.110702515,289914.37896813307
4,736.7193555700001,0.1692918748217065,0.13448637438792535,0.5835642298062642,0.2513713363456338,33750.94,93.9991,93.8957,0.103401184,301611.1571160789
5,650.6191775,0.16255299702750048,0.13164733938426734,0.57101879243193,0.2465298039079365,33197.258,93.9991,93.8963,0.10279846,296004.90246408375
6,101686.18783729,0.44917670535240617,0.14563962704516978,-0.08716833012444633,0.4045104902249733,71405.945,93.9991,93.2886,0.7105026,423162.523668815
7,151949.31900250004,0.4677591598589899,0.1404351116102199,-0.02791083514255107,0.45963985395072116,106817.8,93.9991,93.2165,0.7826004,453233.57339115144
8,303963.0906454298,0.4819690911517717,0.12489836200794027,-0.06976568817252202,0.36531753478190315,155526.58,93.9991,93.0906,0.9085007,600106.075912479
9,651168.5688392902,0.5127378521667271,0.11229047066628749,-0.07402098606113591,0.3889943029775498,217312.4,93.9991,92.5607,1.4384003,537670.1261293348
10,314408.6435915003,0.46218926878300726,0.1161983513565604,0.06555413348300351,0.32985882382940956,249148.78,93.9991,93.2055,0.793602,715109.8224212202
11,654673.0921782901,0.5172286774845405,0.11232558289770772,-0.101575474942822,0.39573733748885725,293585.22,93.9991,92.7245,1.2745972,613830.1107003083
12,154494.41964336007,0.44637199559931773,0.13058524324506038,0.02472061200258841,0.4136032283136693,300208.72,93.9991,93.4385,0.5606003,677292.8892480462
13,289033.49384129007,0.48127742740377016,0.12675219570478616,0.07351675493602487,0.3884859658121274,316012.66,93.9991,93.1713,0.82779694,629941.5638608144
14,576983.8077495703,0.49815433961617056,0.11378523560535182,0.04276215197579821,0.3353536639903973,346111.16,93.9991,92.8644,1.134697,676383.5457664715
15,298072.87345543015,0.48477466116707163,0.12655694527434705,0.044526308415381646,0.3972699389053806,357427.12,93.9991,93.1612,0.83789825,629153.7953731243
16,628950.2217374304,0.4610022671171288,0.0973125678535721,0.0065757472884951755,0.36134384433637323,382260.8,93.9991,93.0197,0.97940063,795996.6731113471
17,293870.14805143,0.49564454094592625,0.130828240406558,-0.08367328450718112,0.40944054139645625,389941.44,93.9991,93.1649,0.834198,623967.054577215
18,1896935.2253252899,0.5218583977899253,0.09149431058578908,-0.15647686724057125,0.3945424805309249,435875.06,93.9991,91.732,2.2670975,556959.0171001963
19,549383.1995425699,0.5108935858085961,0.12024875126425964,0.09405061203350841,0.38363656108492583,449864.66,93.9991,92.8141,1.1849976,603939.5751625418
20,293352.36043142993,0.4923978151699819,0.13112201748373342,0.06228040807910612,0.4193222776020492,453442.7,93.9991,93.1829,0.81620026,643228.7662374685
21,297222.0902562899,0.48739146184019383,0.12849935044171393,0.010266459833671507,0.38643950513566444,457199.47,93.9991,93.2347,0.76439667,701326.3867337711
22,630655.4586554305,0.5227541633923315,0.12156309022889639,0.02362685587106666,0.443080361312997,469185.47,93.9991,92.634,1.365097,536868.1456744605
23,962217.3257212903,0.47684793607612097,0.09675820060929297,0.06961356684009788,0.39048999551354574,488897.38,93.9991,92.7238,1.2752991,738863.0782129392
24,564896.08097929,0.5040785564530754,0.11460743179697898,-0.03784593383334478,0.41211252263029924,498213.16,93.9991,92.9382,1.0608978,680359.8258586471
25,300425.26359257003,0.4860377001272081,0.12766193606315357,-0.043818733172800536,0.37418599377130635,500467.75,93.9991,93.2511,0.7480011,744426.9761932461
26,729668.3127512897,0.46388400062163604,0.09537604915145059,-0.01661423850346264,0.33669509540330417,513555.62,93.9991,92.9805,1.0186005,838248.8794717535
27,425701.9720084298,0.4400250615318179,0.09487813854867584,0.02982437991624887,0.2981502947438538,519225.8,93.9991,93.3288,0.67030334,1003009.7807663095
28,300782.53363643005,0.4844899465234345,0.126505976685265,-0.0035591948532265718,0.3678524367039548,520380.5,93.9991,93.2497,0.7493973,737541.7193857494
29,155739.99541942996,0.4733926020620446,0.1428812046331224,-0.08123716170330926,0.4139352553158168,515824.03,93.9991,93.3978,0.6013031,638091.3329639448
30,80383.06915843001,0.48362981645049835,0.18719507830559398,0.059522316531072574,0.39682413736927113,508702.38,93.9991,93.2792,0.71990204,409851.44428417156
31,959950.3803534302,0.4780732038570713,0.0958504320349912,-0.03830346915284878,0.350013759092366,523157.06,93.9991,92.7371,1.262001,769612.9712834022
32,376550.2473984299,0.49444092765028586,0.12295787392903068,-0.02181982423346012,0.440162640521643,524796.7,93.9991,93.1402,0.858902,672096.9621883347
33,640057.08783929,0.5152820332159429,0.11601379394467619,0.008388298081829108,0.4584189268401413,531080.6,93.9991,92.7716,1.2275009,601589.3097114856
34,519427.94983242993,0.5234104822108548,0.1342716655529444,-0.049221492595609456,0.4206143044771884,535720.94,93.9991,92.768,1.231102,563310.300720688
35,143248.22005928998,0.4908074635689827,0.151044492676864,-0.04015425879699298,0.39900608019885336,531022.1,93.9991,93.3641,0.63500214,577263.3516181838
36,914005.1301914303,0.5168132380410773,0.10549815150358129,-0.13526096885285524,0.379113962303939,541657.4,93.9991,92.6147,1.3843994,667817.2302868313
37,151259.80031543007,0.4714648686953554,0.14338188955430134,0.07355185746010848,0.3749135990090589,537608.8,93.9991,93.4028,0.5962982,650367.8122280702
38,366581.2515454301,0.503305312254396,0.12527596193218635,-0.030705860966518828,0.4230825373464559,538645.3,93.9991,93.1357,0.8634033,669482.5840191885
39,730414.7252053601,0.4587225159454617,0.09248544025320844,0.06803822935163097,0.35735951123996995,546237.7,93.9991,93.0441,0.95500183,882030.6262101351
40,355673.1323342901,0.5002720434800112,0.12627549660193405,-0.021299040061228312,0.4260241102212415,546767.1,93.9991,93.1708,0.8283005,685674.1782530424
41,364750.5875185,0.4936195510913647,0.12443611544629049,-0.009783158265507793,0.37352276600275897,548132.1,93.9991,93.182,0.8171005,739317.8798581775
42,428663.8337575702,0.4412300116281843,0.0942985525204935,0.14365315481311056,0.3331762950330177,550457.2,93.9991,93.3244,0.6746979,960592.5482110981
43,367891.26481436007,0.4950829216203489,0.12415965863476917,-0.07935951680508609,0.3769063092405412,551568.44,93.9991,93.1713,0.82779694,724034.1066450543
44,1036793.7059203599,0.5257602177834186,0.10315615501479754,-0.10190590265259887,0.4395242618192438,559939.2,93.9991,92.4894,1.509697,614860.6794858887
45,365958.0902085699,0.4945856939500844,0.12467447630647473,0.05108336839248886,0.3814075434407514,560735.5,93.9991,93.1688,0.8302994,718500.1669637004
46,373821.47886443,0.49483599172889065,0.12343717567224512,0.052516547510837626,0.35816580439733475,562025.75,93.9991,93.1546,0.8444977,735794.2701824992
47,154532.04128429006,0.4558750453044622,0.1356982939390559,0.0337513851319656,0.3883890054361248,558448.3,93.9991,93.4446,0.55449677,703898.4212582606
48,694004.0214544304,0.4865482175004053,0.10649264574408479,0.07712891075025682,0.366763404418671,563770.8,93.9991,92.9201,1.0790024,759265.9174365604
49,158299.3081885,0.45785449853340526,0.13578405417259232,-0.02306465059986798,0.429949284724564,560306.75,93.9991,93.4339,0.5652008,691023.8326739871
50,153506.24680829,0.46630792276956934,0.14177850678013323,0.030558255534672823,0.37437161409046343,557087.7,93.9991,93.4213,0.57779694,685594.0234449012
51,637048.81504457,0.4496039772015532,0.08978810823957639,0.11487963583092026,0.279347185011194,562057.94,93.9991,93.1465,0.8526001,956535.2289004875
52,724654.83701843,0.4628148475570857,0.09500703583377075,-0.015277240458807788,0.31380502525163434,567964.3,93.9991,93.0336,0.9654999,906365.72246956
53,26538.249717290004,0.41167004288053266,0.18304535886297094,0.09772743721853713,0.4029597804539028,560539.0,93.9991,93.6386,0.36049652,463240.23055053287
54,745148.0393862901,0.45837939195145566,0.09127003882560535,-0.09817756345832354,0.33618528330446956,565994.44,93.9991,93.0057,0.9934006,866303.4727281843
55,158608.95662657,0.46010892972363027,0.13668372202847856,0.011613932542039405,0.35837701548307155,563123.25,93.9991,93.4259,0.5731964,706926.379586104
56,156563.22332642996,0.463761243165321,0.13871847102491064,-0.0015048854813306323,0.3777584522805787,560231.5,93.9991,93.4166,0.58249664,683768.8938388076
57,744503.3419334297,0.4606107397231594,0.0929364332158403,-0.08124184931830314,0.3195231673021486,565632.44,93.9991,93.016,0.9831009,888499.6421093186
58,371856.10688349983,0.49182148816178245,0.12266709241270654,-0.08360379215567566,0.41117866758689164,566035.94,93.9991,93.1669,0.8321991,708289.930923738
59,150876.86232321998,0.46091745899231784,0.1404154020248488,0.055806963379906774,0.3499200689016037,563216.7,93.9991,93.4344,0.56469727,702822.0109003058
60,561767.5764305701,0.5132339994992634,0.11574891033835283,-0.14682832451584818,0.38296964218217777,565783.56,93.9991,92.9175,1.0815964,665495.0673005056
61,370279.06931650004,0.49351118498012814,0.12357917704237664,-0.004111744293702706,0.4127717479507607,566183.06,93.9991,93.176,0.8230972,717474.4001217762
62,725881.0811224297,0.46560468581367503,0.09638355847701252,0.07376443229097111,0.3461403646196713,570830.9,93.9991,92.972,1.0270996,836332.2672466057
63,905641.6668404297,0.5222566385659353,0.10546275231964478,-0.14254571665540047,0.3861675526052069,576126.2,93.9991,92.6247,1.3743973,661911.5104460624
64,1390429.8017794301,0.4927291094710908,0.0987088491027497,-0.06120855152086519,0.329900811036984,585578.0,93.9991,92.3425,1.656601,718635.9288084201
65,735551.9837005703,0.4654499136947188,0.09642798950324045,-0.0707579648378158,0.3041673150107525,590034.25,93.9991,93.0195,0.979599,898009.7364263978
66,652661.4365892896,0.5163402453027228,0.11272670381615776,-0.05663248198957274,0.3809809190264517,593013.94,93.9991,92.7983,1.200798,657622.7592779853
67,563486.6324955701,0.5022543481264119,0.11505121056463377,-0.014395594930632912,0.3919566454637741,595099.44,93.9991,92.9793,1.0197983,720564.0851240781
68,154717.29005056992,0.4531852812608106,0.13506582543763393,0.035122092855261765,0.3324465544532082,592359.8,93.9991,93.4432,0.5559006,730466.981553223
69,1950252.940718291,0.5311809140894592,0.09056711914171896,-0.19686638963546588,0.39630246100516514,602055.44,93.9991,91.8533,2.1457977,592346.2227355426
70,733679.2912245702,0.46340297478224757,0.09515989036353813,0.1176251102042278,0.36486659957695305,605444.0,93.9991,93.0371,0.961998,875932.416247817
71,176358.24005029004,0.4293286915900643,0.11444578787923745,0.11956561382219917,0.34499208523438035,602880.25,93.9991,93.4854,0.5137024,819258.0777273249
72,372766.4293924301,0.4956386083840338,0.12398139210352947,-0.04804405151197082,0.3949558653525041,602704.0,93.9991,93.1504,0.8487015,695196.599886965
73,647069.2647193598,0.5147459860134957,0.11363829364316536,-0.1543269988726216,0.40667705978746366,604839.9,93.9991,92.8472,1.1519012,660436.1221529667
74,627952.9249104296,0.45298971839301855,0.09244843195192617,0.17389553589085163,0.2940058968592943,607341.8,93.9991,93.1507,0.8483963,934098.3710998384
75,154135.13634056994,0.45997313519879895,0.13773384286455775,0.05935374047341091,0.40660183099051384,604352.9,93.9991,93.4273,0.57180023,664888.0483614004
76,374342.14010136004,0.4983141164136608,0.12408840319477304,-0.06005902449025832,0.4139867751167973,604158.7,93.9991,93.166,0.83309937,707478.1612053197
77,1040289.8206114293,0.5203856436407882,0.10382157478619165,-0.03290078568134562,0.3652311946731301,609213.2,93.9991,92.5172,1.4819031,673734.5677097004
78,656602.8793124298,0.5112234393789588,0.11256743006301848,-0.054630701999186966,0.4155321995004811,611304.75,93.9991,92.836,1.1631012,665847.4148893252
79,158437.23289256994,0.46224850080752367,0.13808206690969357,0.07161947461734701,0.3905247591408695,608616.8,93.9991,93.4334,0.5656967,700496.8183061243
80,370489.68627456995,0.5020808174337494,0.12562275566150566,-0.022843954521754653,0.39435756261162347,608409.6,93.9991,93.1512,0.8479004,698002.0138341828
81,733628.8246164294,0.4587177084862557,0.09265945986490376,0.07523855051119614,0.3004850642503755,611766.8,93.9991,93.058,0.9411011,939007.3478984191
82,156086.43340322,0.4620624578658022,0.13831254489474154,-0.06449726184662344,0.370342370885786,609225.56,93.9991,93.4398,0.5593033,716681.374907603
83,555312.8260144299,0.5056928788999474,0.11577402122636207,-0.07885205492913912,0.37753782407680075,610747.2,93.9991,92.989,1.0101013,729673.7479790582
84,382053.00531257014,0.49052139298426906,0.12193370490131397,-0.08429171907207238,0.4631168862315453,610333.2,93.9991,93.1756,0.8235016,698913.5420219656
85,1057228.2539992905,0.45405360054190164,0.08086186208175462,-0.03625133950675429,0.2862454752324838,615497.9,93.9991,92.9309,1.0681992,987169.8225227635
86,648466.5143525698,0.45172818904360423,0.0906210444957082,0.010239906255377546,0.3235318976248041,617753.06,93.9991,93.1544,0.84469604,960938.7225769666
87,155192.84237828996,0.4724076491781053,0.1437942839573797,-0.11988252939996667,0.4616774383689438,614855.6,93.9991,93.4027,0.5963974,608286.2042514636
88,570756.4948485699,0.5071065990628629,0.11489784403204882,-0.11752567153791134,0.3858341908937727,616149.25,93.9991,92.9418,1.0572968,690426.3309591692
89,152403.57518721998,0.4573886993889246,0.13832333504387692,-0.015027022082358598,0.35271420538576914,613776.9,93.9991,93.4393,0.5597992,719246.318568345
90,156515.56663657,0.4603460841200144,0.13823736659572652,-0.021308111153731896,0.3868929407835254,611422.56,93.9991,93.4367,0.5624008,710413.4717566314
91,1046671.6626863597,0.5191648609411827,0.10326509722662516,-0.04386111436225474,0.4092641628460165,615295.5,93.9991,92.5051,1.4940033,647743.0461908455
92,571919.7021524298,0.5048655923929084,0.11460620519021462,0.005810060682258074,0.4211289974490623,616497.06,93.9991,92.9345,1.0645981,682924.6509985122
